label,hurr_sum,dhw_mean,dhw_sd,sst_mean,sst_sd,k490_mean,k490_sd,prod_mean,prod_sd,rain_mean,rain_sd,6_depth,9_reef,11_het_hab,11_het_typ,12_nursery,14_pop2000,14_pop2005,14_pop2010,14_pop2015,14_pop2020,15_margin,8_fsas,16_slope,23_watpol,18_river,22_inorpol,13_conlob,13_conyel,7_mpa,,YEAR,REGION
52,0.764661081,0.018880969,0.048365771,27.93392874,1.190028888,0.057864925,0.01243259,482.442252,82.53441596,0.069306432,0.445570025,-183.7991371,11.70178809,2.818481848,6.44148261,9.004851042,1666779.856,1637464.066,1610372.491,1585489.762,1562828.379,53.2825121,18.21956442,2.255466243,30.99771516,20.58589997,2.718270816,0.102703551,0.048686732,14.6784258,,2011,PR-West
53,0,0.093939464,0.169043836,27.82265608,1.219275528,0.038899069,0.008143071,313.2851266,32.1538556,0.376836366,2.232951958,-23.7909815,35.3399811,3.851458886,10.38196286,6.448103814,242196.8649,246167.8357,251089.8631,257015.1119,264006.4133,41.65323059,11.34731756,2.73142687,11.90981432,152.0624565,0.462041546,0.024073549,0.029959284,13.37341485,,2011,USVI-St. Croix
54,0.006198347,0.044260309,0.079030314,27.61799189,1.208718271,0.036275832,0.006030942,294.5691978,35.54485472,0.449890796,2.17631973,-29.18140494,5.920775027,4.367768595,12.40082645,12.76818264,371255.9117,372474.1987,375104.4233,379164.2845,384687.6021,86.75343033,17.74698558,1.273632252,39.5661157,90.01252114,1.047334233,0.040421403,0.018180667,10.18442827,,2011,USVI-St. Thomas
55,0,0.265562938,0.46543913,27.78910862,1.174239867,0.056105245,0.010282748,394.0106136,65.78593219,0.201768275,1.127123764,-23.34297603,8.123645768,3.351716961,8.802289282,10.49581481,2987601.899,2963165.057,2943388.169,2928293.823,2917930.561,79.24639584,45.9394143,0.798992674,147.3881374,22.66301681,1.111145101,0.107468375,0.014805839,16.15012106,,2012,PR-East
56,0,0,0,27.79160178,1.145991494,0.053430074,0.022835515,383.546864,96.07630489,0.134513317,0.524613912,-6.15,6.938512,3.25,7.5,0.607856375,3058193.434,3020354.197,2986606.815,2956897.366,2931186.18,39.03287138,90.19544575,1.86676125,43.75,17.75801163,22.37857675,0.069243375,0.069164125,42.29167988,,2012,PR-North
57,0,0.163477084,0.278823469,28.05558764,1.086100215,0.059822527,0.014352633,405.7633532,79.96717456,0.096774516,0.677702063,-17.97669168,26.55300906,4.398496241,11.90977444,11.71344082,3290502.471,3251679.271,3217099.724,3186715.722,3160493.615,72.84364653,76.52820547,1.530407895,748.9473684,14.23626102,3.646748789,0.090864669,0.058164677,23.24294351,,2012,PR-South
58,0,0.041418935,0.071285151,28.09629293,1.087624007,0.061579393,0.015405516,489.5179308,84.00955836,0.066954409,0.477706964,-184.2011462,11.72275557,2.808759868,6.429080723,8.994535141,1665238.172,1635910.976,1608807.127,1583911.404,1561236.528,53.23609715,18.20775354,2.251082923,29.57219251,20.64029664,2.649980975,0.103119877,0.048879227,14.63268359,,2012,PR-West
59,0,0.242880141,0.409749881,27.85684951,1.106865793,0.036323276,0.007305061,297.8965647,71.99395172,0.320191536,1.761377234,-23.74973691,35.3858927,3.844736842,10.39736842,6.671267024,242218.8289,246181.5562,251094.1354,257008.612,263987.6782,41.55038392,11.18761651,2.720531263,12.36842105,152.1250582,0.501889603,0.024357179,0.029966984,13.72616324,,2012,USVI-St. Croix
60,0,0.370009091,0.624243099,27.73264353,1.196428226,0.036402308,0.006092873,287.7543168,43.68097746,0.29945602,1.457489643,-28.61348087,5.981525195,4.384305835,12.48088531,13.38918114,373619.3835,374837.0491,377471.6883,381540.7332,387077.7868,86.62281097,17.72711118,1.40236674,38.79275654,89.68134895,1.093904044,0.040236581,0.018320551,10.13473039,,2012,USVI-St. Thomas
61,0,0.300226208,0.52101343,27.57417628,1.091552153,0.062224115,0.01161122,464.3871322,85.17608695,0.275426192,1.295882615,-21.5684534,7.81721404,3.45254833,9.482425308,11.63355638,3044218.272,3019527.218,2999521.057,2984220.76,2973672.885,78.0004148,48.70697796,0.73406812,140.9666081,19.78274302,1.364577908,0.109014736,0.012935601,17.74545225,,2013,PR-East
62,0,0.067890411,0.122446165,27.62248973,1.062099491,0.04876479,0.013240902,397.3053549,81.30726163,0.162174655,0.699063489,-6.15,6.938512,3.25,7.5,0.607856375,3058193.434,3020354.197,2986606.815,2956897.366,2931186.18,39.03287138,90.19544575,1.86676125,43.75,17.75801163,22.37857675,0.069243375,0.069164125,42.29167988,,2013,PR-North
63,0,0.138442525,0.241371358,27.85144396,1.029172682,0.064835815,0.016051347,422.9792261,72.31963809,0.06768483,0.504487442,-17.73913039,26.57602962,4.420289855,11.98550725,11.93792974,3300561.059,3261692.333,3227091.785,3196711.461,3170518.034,72.90173855,77.04214896,1.493100942,758.0434783,13.9110853,3.677269775,0.09145187,0.057648594,22.96705967,,2013,PR-South
64,0,0.042196378,0.074813539,27.9146449,1.031931633,0.063890494,0.014695817,489.9018401,102.4822621,0.060054821,0.384447507,-183.5429914,11.70052093,2.820278834,6.446641318,8.99215263,1665149.18,1635916.754,1608921.598,1584154.449,1561636.401,53.32599724,18.19582155,2.25560344,30.96577947,20.68118012,2.714230529,0.102956533,0.048720559,14.77420003,,2013,PR-West
65,0,0.137555373,0.243598039,27.69096962,1.054584161,0.041944799,0.008866918,341.1108797,75.46294959,0.310794242,1.462103342,-21.72311117,35.18182756,4.037777778,11.04666667,7.904324369,242461.0827,246451.9344,251397.2034,257349.3522,264371.566,41.72424374,12.91789516,2.4100572,11.6,151.116358,0.443972864,0.024161196,0.02961544,11.34498527,,2013,USVI-St. Croix
